FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegID_nu
3263,8813419, 1310231369,  1310403877,   1310261307,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.23816536418168,             0, ,               I 495,                38.92986,                 -77.21114,                  38.93302,                   -77.20937,                    N,                     1265214,                      4326,1310231369
9712,8834019, 1310261307,  1310231369,   1310567213,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.26803467738112,             0, ,               I 495,                38.93311,                 -77.20932,                  38.93668,                   -77.20735,                    N,                     1265214,                      4326,1310261307
10132,8835276, 1310263171,  1310370202,   1310505117,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.26075220701088,             0, ,               I 495,                38.91783,                 -77.21698,                  38.92151,                   -77.21593,                    N,                     1265214,                      4326,1310263171
10269,8835680, 1310263844,  1310389567,   1310400660,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.23441849589392,             0, ,               George Washington Memorial Parkway,                38.93909,                 -77.13356,                  38.93581,                   -77.13428,                    S,                     1297598,                      4326,1310263844
15178,8851153, 1310285905,  1310285938,   1310285916,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.12391384310864,             0,              HOV,               I 495,                38.92417,                 -77.21474,                  38.92581,                   -77.21380,                    N,                     1283333,                      4326,1310285905
17828,8859733, 1310298177,  1310466600,   1310365816,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.46399029649024,             0, ,               I 495,                38.95784,                 -77.19227,                  38.96226,                   -77.18615,                    E,                     1258313,                      4326,1310298177
23157,8878094, 1310323648,  1310520089,   1310389567,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.1507446511792,             0, ,               George Washington Memorial Parkway,                38.94134,                 -77.13431,                  38.93931,                   -77.13351,                    S,                     1297598,                      4326,1310323648
30897,8906583, 1310365779,  1310365792,   1310520376,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.15069494148384,             0, ,               George Washington Memorial Parkway,                38.96346,                 -77.17846,                  38.96408,                   -77.17578,                    E,                     1399231,                      4326,1310365779
30900,8906592, 1310365792, ,   1310365779,    0, , , ,        United States of America,         Virginia,          Fairfax,           McLean,            0.41542392412352,             1, ,"               I 495,George Washington Memorial Parkway",                38.96230,                 -77.18606,                  38.96344,                   -77.17854,                    E,                     1399244,                      4326,1310365792
31744,8909696, 1310370202,  1310438011,   1310263171,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.1411133977032,             0, ,               I 495,                38.91580,                 -77.21733,                  38.91783,                   -77.21698,                    N,                     1265214,                      4326,1310370202
35161,8922616, 1310388985,  1310249379,   1310388998,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.559544758396,             0, ,               I 495,                38.88855,                 -77.21850,                  38.89608,                   -77.21476,                    N,                     1265214,                      4326,1310388985
35164,8922619, 1310388991, , ,    0, , , ,        United States of America,         Virginia,          Fairfax,           Merrifield,            0.5581156046544,             1, , ,                38.88407,                 -77.22500,                  38.88855,                   -77.21850,                    E,                     1422383,                      4326,1310388991
35168,8922624, 1310388998,  1310388985,   1310438011,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,            0.56027797640256,             0, ,               I 495,                38.89608,                 -77.21476,                  38.90404,                   -77.21614,                    N,                     1265214,                      4326,1310388998
35289,8923029, 1310389567,  1310323648,   1310263844,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.01489426747224,             0, ,               George Washington Memorial Parkway,                38.93931,                 -77.13351,                  38.93909,                   -77.13356,                    S,                     1297598,                      4326,1310389567
37264,8930619, 1310400407,  1310400645,   1310400420,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Arlington,           Arlington,            0.65181216669608,             0, ,               George Washington Memorial Parkway,                38.91034,                 -77.10152,                  38.90419,                   -77.09238,                    E,                     1297598,                      4326,1310400407
37267,8930627, 1310400420,  1310400407,   1310296360,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Arlington,           Arlington,            0.65134613830208,             0, ,               George Washington Memorial Parkway,                38.90419,                 -77.09238,                  38.90135,                   -77.08095,                    E,                     1297598,                      4326,1310400420
37302,8930790, 1310400637,  1310400673,   1310400645,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Arlington,           Arlington,            0.64926454480888,             0, ,               George Washington Memorial Parkway,                38.92562,                 -77.11502,                  38.91850,                   -77.10725,                    S,                     1297598,                      4326,1310400637
37304,8930797, 1310400645,  1310400637,   1310400407,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Arlington,           Arlington,            0.6516941061696,             0, ,               George Washington Memorial Parkway,                38.91850,                 -77.10725,                  38.91034,                   -77.10152,                    S,                     1297598,                      4326,1310400645
37307,8930809, 1310400660,  1310263844,   1310400673,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.65017796046112,             0, ,               George Washington Memorial Parkway,                38.93581,                 -77.13428,                  38.93197,                   -77.12390,                    E,                     1297598,                      4326,1310400660
