Lat,Long,Region,Grid
39.03815,-77.63416,Loudoun County,NOVA
39.03815,-77.5620377959306,Loudoun County,NOVA
39.03815,-77.4899155918613,Loudoun County,NOVA
39.03815,-77.4177933877919,Loudoun County,NOVA
39.03815,-77.3456711837226,Loudoun County,NOVA
38.98900995086,-77.63416,Loudoun County,NOVA
38.98900995086,-77.5619468962474,Loudoun County,NOVA
38.98900995086,-77.4897337924949,Loudoun County,NOVA
38.98900995086,-77.4175206887424,Loudoun County,NOVA
38.9398699017199,-77.63416,Loudoun County,NOVA
38.9398699017199,-77.5618557671431,Loudoun County,NOVA
38.9398699017199,-77.4895515342862,Loudoun County,NOVA
38.8907298525799,-77.561764407748,Loudoun County,NOVA
38.4976,-77.63416,Faquire,NOVA
38.54674,-77.63416,Faquire,NOVA
38.54674,-77.56111,Faquire,NOVA
38.59588,-77.63416,Faquire,NOVA
38.59588,-77.56121,Faquire,NOVA
38.64502,-77.63416,Faquire,NOVA
38.69416,-77.63416,Faquire,NOVA
38.8907298525799,-77.63416,Prince William,NOVA
38.8415898034398,-77.63416,Prince William,NOVA
38.8415898034398,-77.561672817188,Prince William,NOVA
38.7924497542998,-77.63416,Prince William,NOVA
38.7924497542998,-77.5615809945847,Prince William,NOVA
38.7924497542998,-77.4890019891694,Prince William,NOVA
38.7433097051597,-77.63416,Prince William,NOVA
38.7433097051597,-77.5614889390551,Prince William,NOVA
38.7433097051597,-77.4161468171653,Prince William,NOVA
38.6941696560197,-77.5613966497118,Prince William,NOVA
38.6941696560197,-77.4886332994237,Prince William,NOVA
38.6941696560197,-77.4158699491355,Prince William,NOVA
38.6941696560197,-77.3431065988474,Prince William,NOVA
38.6450296068796,-77.5613041256629,Prince William,NOVA
38.6450296068796,-77.4884482513259,Prince William,NOVA
38.6450296068796,-77.4155923769888,Prince William,NOVA
38.6450296068796,-77.3427365026518,Prince William,NOVA
38.6450296068796,-77.2698806283147,Prince William,NOVA
38.5958895577396,-77.4882627320239,Prince William,NOVA
38.5958895577396,-77.4153140980359,Prince William,NOVA
38.5958895577396,-77.3423654640479,Prince William,NOVA
38.5958895577396,-77.2694168300598,Prince William,NOVA
38.5467495085995,-77.3419934794313,Prince William,NOVA
38.5467495085995,-77.2689518492891,Prince William,NOVA
38.7433,-77.48881,Prince William,NOVA
39.03815,-77.3456711837226,Fairfax County,NOVA
39.03815,-77.2735489796532,Fairfax County,NOVA
38.98900995086,-77.3453075849898,Fairfax County,NOVA
38.98900995086,-77.2730944812373,Fairfax County,NOVA
