1,I-66-EB,2403,2403,0.228966174
2,US-50-EB,2365,4768,0.454311577
3,US-50-WB,1717,6485,0.617913292
4,I-66-WB,1254,7739,0.737398761
5,US-29-NB,623,8362,0.796760362
6,US-29-SB,379,8741,0.832872797
7,I-66-EB-TZ1-2-3_US-29-NB-TZ4---I-66-EB,374,9115,0.868508814
8,I-66-WB---US-29-SB-TZ4_I-66-WB-TZ3-2-1,262,9377,0.893473082
9,I-66-EB-TZ1-2-3_US-29-NB-TZ4,110,9487,0.903954264
10,I-66-EB-TZ1-2-3_US-50-EB-TZ4---I-66-EB,64,9551,0.910052406
11,US-29-NB-TZ1-2_I-66-EB-TZ3-4,62,9613,0.915959981
12,I-66-EB-TZ1_US-50-EB-TZ2-3-4---US-50-EB,59,9672,0.921581706
13,I-66-EB-TZ1-2-3_US-29-NB-TZ4---I-66-EB-TZ1-2-3_US-50-EB-TZ4---I-66-EB,53,9725,0.926631729
14,I-66-WB-TZ4_US-50-WB-TZ3-2-1---US-50-WB,53,9778,0.931681753
15,US-29-SB-TZ4-3_I-66-WB-TZ2-1,52,9830,0.936636494
16,I-66-WB-TZ4_US-29-SB-TZ3-2-1---US-29-SB,33,9863,0.939780848
17,US-50-EB---US-50-WB,33,9896,0.942925202
18,US-29-SB-TZ4_I-66-WB-TZ3-2-1,29,9925,0.945688423
19,I-66-WB-TZ4-3_US-29-SB-TZ2-1,28,9953,0.94835636
20,US-50-WB_TZ4-3_I-66-WB-TZ2-1,28,9981,0.951024297
21,I-66-EB-TZ1-2_US-29-NB-TZ3-4,27,10008,0.953596951
22,US-29-NB-TZ1-2-3_I-66-EB-TZ4---US-29-NB,27,10035,0.956169605
23,US-50-WB_TZ4_I-66-WB-TZ3-2-1,26,10061,0.958646975
24,I-66-EB-TZ1-2_US-29-NB-TZ3-4---I-66-EB-TZ1_US-29-NB-TZ2-3-4,25,10086,0.961029061
25,I-66-EB---I-66-WB,24,10110,0.963315865
26,US-29-NB---US-29-SB,22,10132,0.965412101
27,I-66-WB---US-50-WB_TZ4_I-66-WB-TZ3-2-1,20,10152,0.96731777
28,I-66-EB-TZ1-2-3_US-50-EB-TZ4,20,10172,0.96922344
29,I-66-WB---US-29-SB-TZ4_I-66-WB-TZ3-2-1---US-50-WB_TZ4_I-66-WB-TZ3-2-1,20,10192,0.971129109
30,I-66-WB-TZ4-3_US-50-WB-TZ2-1,16,10208,0.972653645
31,US-50-EB-TZ1-2_I-66-EB-TZ3-4,14,10222,0.973987613
32,US-29-NB-TZ1-2_I-66-EB-TZ3-4---US-29-NB-TZ1_I-66-EB-TZ2-3-4,10,10232,0.974940448
33,US-50-EB-TZ1-2-3_I-66-EB-TZ4---US-50-EB,9,10241,0.975797999
34,I-66-WB-TZ4_US-50-WB-TZ3-2-1,9,10250,0.97665555
35,US-50-WB_TZ4-3-2_I-66-WB-TZ1---US-50-WB,8,10258,0.977417818
36,US-29-NB-TZ1_I-66-EB-TZ2-3-4,7,10265,0.978084802
37,I-66-EB-TZ1-2-3_US-29-NB-TZ4---I-66-EB---I-66-WB,7,10272,0.978751787
38,I-66-WB-TZ4_US-29-SB-TZ3-2-1,6,10278,0.979323487
39,I-66-EB-TZ1-2_US-50-EB-TZ3-4,6,10284,0.979895188
40,I-66-EB---I-66-WB---US-29-SB-TZ4_I-66-WB-TZ3-2-1,6,10290,0.980466889
